Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.021448,-0.127505,-1.80681,262.945587,-508.166718,180.779724
2,0,0.021243,-0.127846,-1.806902,262.934967,-508.152618,180.783356
3,0,0.021225,-0.127291,-1.807062,262.93158,-508.141388,180.787628
4,0,0.021032,-0.128157,-1.806463,262.937195,-508.128632,180.791473
5,0,0.021218,-0.128254,-1.806623,262.936188,-508.106995,180.794327
6,0,0.02092,-0.128221,-1.807132,262.938232,-508.079895,180.798935
7,0,0.020728,-0.128314,-1.806979,262.942841,-508.056641,180.800751
8,0,0.020539,-0.128704,-1.806932,262.942444,-508.047699,180.795502
9,0,0.019874,-0.129129,-1.806822,262.952332,-508.027069,180.801239
10,0,0.019427,-0.128983,-1.80721,262.952789,-508.005432,180.809509
11,0,0.019006,-0.129661,-1.806315,262.969818,-507.983032,180.806076
12,0,0.018792,-0.129802,-1.806895,262.993744,-507.948517,180.813995
13,0,0.018847,-0.129922,-1.807413,262.997955,-507.923431,180.814026
14,0,0.01799,-0.129867,-1.807324,263.016754,-507.904999,180.82016
15,0,0.017955,-0.129692,-1.80782,263.018005,-507.881805,180.813751
16,0,0.017177,-0.130009,-1.807478,263.042908,-507.868347,180.815353
17,0,0.016919,-0.130092,-1.807702,263.058594,-507.843781,180.809875
18,0,0.016478,-0.130224,-1.807128,263.093719,-507.819519,180.821655
19,0,0.016165,-0.130187,-1.807406,263.11673,-507.798187,180.816803
20,0,0.01572,-0.129955,-1.807518,263.131012,-507.782806,180.811996
21,0,0.015199,-0.129884,-1.80711,263.154388,-507.77005,180.814392
22,0,0.015199,-0.129877,-1.807705,263.174469,-507.768921,180.817047
23,0,0.014707,-0.129638,-1.807424,263.189667,-507.769226,180.807251
24,0,0.014395,-0.129567,-1.807144,263.205078,-507.764771,180.80545
25,0,0.013906,-0.129479,-1.806919,263.224915,-507.765289,180.814713
26,0,0.014005,-0.129302,-1.807256,263.23996,-507.758972,180.811066
27,0,0.013799,-0.129085,-1.807099,263.259644,-507.775482,180.812256
28,0,0.013815,-0.129132,-1.806823,263.263031,-507.786926,180.802811
29,0,0.013506,-0.129033,-1.806642,263.269135,-507.809814,180.802795
30,0,0.013574,-0.128339,-1.806819,263.271576,-507.821136,180.79097
31,0,0.013988,-0.128099,-1.807019,263.276489,-507.831696,180.794052
32,0,0.014349,-0.128018,-1.80735,263.27887,-507.84903,180.79335
33,0,0.014292,-0.127708,-1.806757,263.286591,-507.868652,180.798386
34,0,0.015071,-0.127966,-1.806953,263.284058,-507.891479,180.790924
35,0,0.015086,-0.127543,-1.80683,263.266693,-507.919556,180.779419
36,0,0.015241,-0.127471,-1.806609,263.259155,-507.946777,180.776871
37,0,0.015648,-0.127051,-1.806683,263.248505,-507.969666,180.778015
38,0,0.01612,-0.126763,-1.807298,263.228516,-507.985413,180.77063
39,0,0.016344,-0.126509,-1.80731,263.229828,-508.003418,180.774139
40,0,0.016953,-0.126677,-1.807204,263.20282,-508.025635,180.767914
41,0,0.017091,-0.126339,-1.806663,263.202545,-508.047577,180.774429
